ID,Épica,Historia,Como,Quiero,Para,Prioridad,Sprint,Criterios de Aceptación,Estado,Review,Responsable,Observaciones
HU30,EP05,Consultar el detalle administrativo de un producto,Administrador / Vendedor,Visualizar el detalle de un producto sin modificarlo,Consultar su información completa antes de decidir una acción,Media,Sprint 03,"CA1: Dado un producto registrado, cuando el usuario selecciona ver detalle, entonces visualiza código, nombre, descripción, precio, stock, stock crítico, categoría e imagen cuando exista. CA2: Dado la vista de detalle, cuando se carga, entonces no presenta campos editables ni botón de guardar. CA3: Dado un usuario con perfil Vendedor, cuando accede al detalle, entonces puede visualizarlo completo. CA4: Dado la vista de detalle, cuando el usuario selecciona volver, entonces regresa al listado de productos.",Pendiente,Pendiente,Antonio Jara,Modal de detalle dentro del listado. Vista en Sprint 3.
HU31,EP05,Consultar el stock de un producto,Administrador,Consultar el stock disponible de un producto,Conocer las unidades disponibles antes de reponer,Media,Sprint 03,"CA1: Dado un producto registrado, cuando el administrador consulta su información, entonces el sistema muestra el stock disponible actualizado. CA2: Dado un producto cuyo stock cambió por una venta o un ingreso, cuando el administrador lo consulta, entonces el valor mostrado refleja el último movimiento registrado. CA3: Dado un producto, cuando se intenta registrar un stock negativo, entonces el sistema rechaza la operación.",Pendiente,Pendiente,Antonio Jara,pages/libreria/stock.html. Vista en Sprint 3.
HU32,EP05,Definir el stock crítico de un producto,Administrador,Definir el umbral de stock crítico de un producto,Identificar cuándo se requiere reposición,Media,Sprint 03,"CA1: Dado un producto existente, cuando el administrador registra un stock crítico entero mayor o igual a cero, entonces el sistema conserva ese límite. CA2: Dado un producto con stock crítico definido, cuando su stock disponible es igual o inferior al umbral, entonces el sistema lo marca visualmente en el listado. CA3: Dado un producto sin stock crítico definido, cuando se consulta el listado, entonces no se aplica ninguna marca de reposición.",Pendiente,Pendiente,Antonio Jara,Campo en el formulario de producto. Vista en Sprint 3.
HU33,EP05,Dar de baja un producto,Administrador,Dar de baja un producto del catálogo,Retirar de la venta artículos descontinuados sin perder su historial,Baja,Sprint 03,"CA1: Dado un producto del listado, cuando el administrador selecciona darlo de baja y confirma, entonces el producto deja de aparecer en el catálogo público. CA2: Dado un producto dado de baja, cuando se consultan las compras históricas, entonces sus registros anteriores siguen visibles. CA3: Dado un producto dado de baja, cuando el administrador lo reactiva, entonces vuelve a estar disponible en el catálogo.",Pendiente,Pendiente,Antonio Jara,Acción dentro del listado de productos. Vista en Sprint 3.
HU35,EP05,Preparar reservas para entrega,Vendedor,Preparar las reservas pendientes para su retiro,Avisar al apoderado que puede pasar por los productos,Alta,Sprint 03,"CA1: Dado una reserva en estado Pendiente, cuando el vendedor la abre, entonces visualiza el detalle de los productos reservados y los datos del apoderado. CA2: Dado una reserva con productos disponibles, cuando el vendedor la marca como preparada, entonces la reserva pasa a estado Lista para retiro. CA3: Dado una reserva en estado Lista para retiro, cuando el vendedor la consulta, entonces visualiza la fecha de preparación y el responsable. CA4: Dado un listado de reservas pendientes, cuando se carga, entonces aparecen ordenadas por fecha de creación ascendente.",Pendiente,Pendiente,Antonio Jara,pages/libreria/preparar-reservas.html. Vista en Sprint 3.
HU36,EP05,Entregar reservas al apoderado,Vendedor,Registrar la entrega presencial de una reserva,Cerrar el ciclo y confirmar el retiro de los productos,Alta,Sprint 03,"CA1: Dado una reserva en estado Lista para retiro, cuando el vendedor la abre, entonces visualiza los productos, el apoderado y el código de reserva. CA2: Dado una entrega presencial, cuando el vendedor confirma el retiro y valida el código, entonces la reserva pasa a estado Entregada. CA3: Dado una reserva entregada, cuando se consulta el stock, entonces el descuento ya aplicado no se modifica. CA4: Dado una reserva no retirada dentro del plazo, cuando transcurre la fecha límite, entonces el sistema la marca como Cancelada y devuelve el stock disponible en una operación transaccional.",Pendiente,Pendiente,Antonio Jara,pages/libreria/entregar-reservas.html. Vista en Sprint 3.
HU37,EP05,Consultar las ventas del día,Vendedor,Consultar el resumen de ventas del día,Cuadrar la caja al cierre de la jornada,Media,Sprint 03,"CA1: Dado un vendedor autenticado, cuando accede a la vista de ventas del día, entonces visualiza el listado de transacciones del día en curso. CA2: Dado el listado de ventas, cuando se muestra, entonces cada línea indica hora, estudiante, monto y responsable. CA3: Dado el listado de ventas del día, cuando se carga, entonces el sistema calcula el total acumulado. CA4: Dado un día sin ventas, cuando se accede a la vista, entonces el sistema informa el estado vacío.",Pendiente,Pendiente,Antonio Jara,pages/libreria/ventas-dia.html. Vista en Sprint 3.
HU38,EP06,Visualizar el listado de usuarios,Administrador,Visualizar el listado de usuarios registrados,Administrar las cuentas existentes,Alta,Sprint 03,"CA1: Dado que existen usuarios registrados, cuando el administrador ingresa al mantenedor, entonces visualiza el listado en una tabla legible. CA2: Dado un registro del listado, cuando el administrador lo revisa, entonces dispone de las acciones de ver detalle y editar. CA3: Dado el listado de usuarios, cuando se carga, entonces existe un acceso para crear un nuevo usuario.",Pendiente,Pendiente,Antonio Jara,pages/administrador/usuarios.html. Vista en Sprint 3.
HU39,EP06,Crear un usuario de staff,Administrador,Crear cuentas de Administrador o Vendedor desde el panel administrativo,Incorporar al personal con su perfil correspondiente,Alta,Sprint 03,"CA1: Dado el formulario de usuario, cuando el administrador ingresa el RUN en cualquiera de sus formatos (con o sin puntos, con o sin guion, con o sin dígito verificador) y el RUN es válido, entonces el campo se acepta. CA2: Dado el formulario de usuario, cuando ingresa un nombre de hasta 50 caracteres y apellidos de hasta 100, entonces los campos se aceptan. CA3: Dado el formulario de usuario, cuando ingresa un correo de hasta 100 caracteres con formato válido, entonces el campo se acepta. CA4: Dado el formulario de usuario, cuando ingresa una fecha de nacimiento o la deja vacía, entonces el campo se acepta por ser opcional. CA5: Dado el formulario de usuario, cuando ingresa una dirección de hasta 300 caracteres, entonces el campo se acepta. CA6: Dado el formulario de usuario, cuando no selecciona un tipo de usuario entre Administrador y Vendedor, entonces el sistema impide guardar y muestra un mensaje específico. CA7: Dado el formulario de usuario, cuando se carga, entonces no existe ningún campo para que el administrador defina la contraseña. CA8: Dado un formulario con datos válidos, cuando el administrador confirma el registro, entonces el sistema genera automáticamente una contraseña temporal y el usuario queda disponible en el listado. CA9: Dado una contraseña temporal generada, cuando se crea el usuario, entonces el sistema la muestra al administrador una sola vez y la envía al correo registrado. CA10: Dado un usuario creado, cuando inicia sesión con la contraseña temporal, entonces el sistema lo obliga a cambiarla según HU15. CA11: Dado un formulario con datos inválidos, cuando intenta guardar, entonces el sistema muestra un mensaje personalizado junto a cada campo con error.",Pendiente,Pendiente,Antonio Jara,Alta de cuentas de staff en pages/administrador/usuario-crear.html. La creación de apoderados (Cliente) corresponde a HU10.
HU40,EP06,Editar un usuario,Administrador,Editar los usuarios existentes,Mantener actualizados sus datos personales y su perfil de acceso,Alta,Sprint 03,"CA1: Dado un registro del listado de usuarios, cuando el administrador selecciona Editar, entonces se abre el formulario cargado con los datos actuales. CA2: Dado el formulario de edición, cuando se carga, entonces el RUN se muestra en modo solo lectura. CA3: Dado el formulario de edición, cuando el administrador modifica nombre, apellidos, correo, fecha de nacimiento, tipo de usuario, región, comuna o dirección, entonces se aplican las validaciones definidas en HU39. CA4: Dado el formulario de edición, cuando se carga, entonces no se muestra ni se solicita la contraseña del usuario. CA5: Dado un usuario que olvidó su clave, cuando el administrador selecciona restablecerla, entonces el sistema genera una nueva contraseña temporal y obliga al usuario a cambiarla en su próximo ingreso. CA6: Dado un administrador editando su propia cuenta, cuando intenta cambiar su perfil a uno distinto de Administrador, entonces el sistema impide la operación y explica el motivo. CA7: Dado un formulario de edición con datos válidos, cuando guarda, entonces el sistema confirma y el listado refleja la información actualizada. CA8: Dado un formulario de edición con cambios sin guardar, cuando el administrador cancela, entonces vuelve al listado y el usuario conserva sus datos originales.",Pendiente,Pendiente,Antonio Jara,Modal de edición dentro del listado de usuarios. Vista en Sprint 3.
HU41,EP06,Consultar el detalle de un usuario,Administrador,Visualizar el detalle de un usuario sin modificarlo,Consultar la información registrada antes de decidir si debo editarla,Media,Sprint 03,"CA1: Dado un usuario registrado, cuando el administrador selecciona ver detalle, entonces visualiza RUN, nombre, apellidos, correo, fecha de nacimiento cuando exista, tipo de usuario, región, comuna y dirección. CA2: Dado la vista de detalle, cuando se carga, entonces no presenta campos editables ni botón de guardar. CA3: Dado la vista de detalle, cuando el administrador selecciona volver, entonces regresa al listado de usuarios.",Pendiente,Pendiente,Antonio Jara,Modal de detalle dentro del listado de usuarios. Vista en Sprint 3.
HU42,EP06,Dar de baja un usuario,Administrador,Dar de baja una cuenta de usuario,Impedir el acceso de cuentas inactivas sin perder su historial,Baja,Sprint 03,"CA1: Dado un usuario del listado, cuando el administrador lo da de baja y confirma, entonces la cuenta queda inactiva y no puede iniciar sesión. CA2: Dado un usuario dado de baja, cuando se consultan registros históricos asociados, entonces su información sigue disponible para consulta. CA3: Dado un administrador, cuando intenta darse de baja a sí mismo, entonces el sistema impide la operación.",Pendiente,Pendiente,Antonio Jara,Acción dentro del listado de usuarios. Vista en Sprint 3.
HU43,EP06,Importar nómina de estudiantes,Administrador,Importar la nómina del colegio desde un archivo,Evitar la carga manual repetitiva de estudiantes,Media,Sprint 03,"CA1: Dado el formulario de importación, cuando el administrador adjunta un archivo CSV o XLSX con la nómina, entonces el sistema valida el formato y muestra una previsualización. CA2: Dado un archivo con filas válidas, cuando el administrador confirma la importación, entonces el sistema registra los estudiantes y sus asociaciones con apoderados en una única operación transaccional. CA3: Dado un archivo con filas inválidas, cuando el sistema procesa la importación, entonces rechaza la totalidad del archivo e indica las filas con error. CA4: Dado una importación exitosa, cuando se consulta el listado de estudiantes, entonces los registros importados aparecen disponibles.",Pendiente,Pendiente,Antonio Jara,pages/libreria/nomina-import.html. Vista en Sprint 3.
HU46,EP07,Aplicar estilos mediante CSS externo,Equipo de desarrollo,Centralizar los estilos en hojas CSS externas,Mantener una apariencia consistente y fácil de modificar,Alta,Sprint 03,"CA1: Dado cualquier página del sitio, cuando se revisa su código, entonces no contiene estilos en línea salvo en plantillas de correo. CA2: Dado el proyecto, cuando se revisa la carpeta de estilos, entonces existe una hoja base compartida por todas las páginas. CA3: Dado un cambio en la hoja base, cuando se recarga el sitio, entonces el cambio se refleja en todas las vistas que la usan. CA4: Dado cualquier página, cuando se revisa su encabezado, entonces vincula las hojas de estilo mediante la etiqueta link.",Pendiente,Pendiente,Florencia Soto,Transversal. Sistema ce-* en assets/css/. Aplicado en Sprint 3.
HU47,EP07,Adaptar el sitio a distintos tamaños de pantalla,Equipo de desarrollo,Aplicar un diseño responsivo en todas las vistas,"Que el sitio se use correctamente en celular, tablet y escritorio",Alta,Sprint 03,"CA1: Dado cualquier página del sitio, cuando se visualiza en un ancho de 375 píxeles, entonces el contenido se lee sin desplazamiento horizontal. CA2: Dado cualquier página, cuando se visualiza en tablet y escritorio, entonces el diseño se reorganiza sin superposiciones ni texto cortado. CA3: Dado la barra de navegación, cuando se visualiza en pantalla angosta, entonces se adapta a un formato utilizable en celular. CA4: Dado una tabla o grilla de datos, cuando se visualiza en celular, entonces se adapta o permite desplazamiento controlado sin romper la página.",Pendiente,Pendiente,Florencia Soto,Transversal. Media queries en assets/css/style.css. Aplicado en Sprint 3.
HU49,EP08,Registrar un estudiante,Administrador,Registrar estudiantes en el sistema,Identificar a quienes utilizarán saldo en la librería,Media,Sprint 03,"CA1: Dado un estudiante no registrado, cuando el administrador ingresa nombre, apellido y curso y confirma, entonces el estudiante queda registrado con un identificador único. CA2: Dado el formulario de estudiante, cuando falta nombre, apellido o curso, entonces el sistema impide el registro. CA3: Dado un identificador ya existente, cuando el administrador intenta registrarlo de nuevo, entonces el sistema rechaza la operación. CA4: Dado un estudiante registrado, cuando se consultan los apoderados, entonces queda disponible para asociarse.",Pendiente,Pendiente,Florencia Soto,pages/administrador/estudiantes.html. Vista en Sprint 3.
HU50,EP08,Asociar un estudiante a un apoderado,Administrador,Asociar uno o más estudiantes a un apoderado,Relacionar correctamente al responsable de sus fondos,Media,Sprint 03,"CA1: Dado un estudiante y un apoderado registrados, cuando el administrador crea la asociación, entonces el estudiante queda vinculado a ese apoderado. CA2: Dado un apoderado, cuando se le asocian estudiantes, entonces puede tener uno o más vinculados. CA3: Dado una asociación ya existente, cuando el administrador intenta crearla de nuevo, entonces el sistema la rechaza por duplicada. CA4: Dado un registro inexistente, cuando se intenta asociar, entonces el sistema impide la operación.",Pendiente,Pendiente,Florencia Soto,pages/administrador/estudiantes.html. Vista en Sprint 3.
HU51,EP08,Consultar el saldo de un estudiante,Vendedor,Consultar el saldo disponible de un estudiante,Verificar que dispone de fondos antes de registrar una compra,Media,Sprint 03,"CA1: Dado un estudiante registrado, cuando el vendedor lo busca por nombre o identificador, entonces el sistema lo localiza. CA2: Dado un estudiante localizado, cuando se consulta, entonces el sistema muestra su saldo disponible actualizado. CA3: Dado un estudiante que no existe, cuando el vendedor lo busca, entonces el sistema informa claramente que no fue encontrado. CA4: Dado un estudiante con cargas y compras registradas, cuando se muestra su saldo, entonces este coincide con la suma de sus movimientos.",Pendiente,Pendiente,Florencia Soto,pages/libreria/consulta-saldo.html. Vista en Sprint 3.
HU52,EP08,Registrar una compra con saldo,Vendedor,Registrar una compra descontando el saldo del estudiante,Dejar trazabilidad de la operación y actualizar el saldo,Alta,Sprint 03,"CA1: Dado un estudiante identificado y productos seleccionados, cuando el vendedor arma la compra, entonces el total se calcula automáticamente. CA2: Dado una compra con saldo suficiente, cuando el vendedor la confirma, entonces el sistema descuenta el total del saldo del estudiante. CA3: Dado una compra confirmada, cuando se registra, entonces el stock de cada producto disminuye según la cantidad vendida. CA4: Dado una compra confirmada, cuando se consulta el historial del estudiante, entonces la operación aparece con fecha, detalle y monto.",Pendiente,Pendiente,Florencia Soto,pages/libreria/registrar-compra.html. Vista en Sprint 3.
HU53,EP08,Rechazar una compra por saldo insuficiente,Vendedor,Impedir una compra cuando el saldo no alcanza,Evitar que el estudiante exceda los fondos disponibles,Alta,Sprint 03,"CA1: Dado un estudiante cuyo saldo es menor al total de la compra, cuando el vendedor intenta confirmarla, entonces el sistema impide la operación. CA2: Dado una compra rechazada por saldo, cuando se muestra el mensaje, entonces indica el total, el saldo disponible y la diferencia faltante. CA3: Dado una compra rechazada, cuando se revisa el estado del sistema, entonces ni el saldo ni el stock fueron modificados.",Pendiente,Pendiente,Florencia Soto,pages/libreria/registrar-compra.html. Vista en Sprint 3.
HU54,EP08,Recibir alerta de stock crítico,Administrador,Recibir un aviso cuando un producto llega a su stock crítico,Anticipar la reposición antes de quedar sin unidades,Media,Sprint 03,"CA1: Dado un producto con stock crítico definido, cuando su stock disponible baja hasta el umbral o por debajo, entonces el sistema genera un aviso para el administrador. CA2: Dado un aviso generado, cuando el administrador ingresa al panel, entonces visualiza el listado de productos por reponer ordenado por urgencia. CA3: Dado un producto repuesto por sobre su umbral, cuando se actualiza el stock, entonces el aviso deja de mostrarse. CA4: Dado un producto, cuando una operación intentaría dejar su stock por debajo de cero, entonces el sistema rechaza la operación.",Pendiente,Pendiente,Florencia Soto,Vista en pages/administrador/inicio.html. Vista en Sprint 3.
HU06,EP01,Consentir el tratamiento de datos personales,Apoderado,Otorgar mi consentimiento explícito para el tratamiento de mis datos y los de mis pupilos,Cumplir con la Ley 21.719 de Protección de Datos Personales,Alta,Sprint 04,"CA1: Dado el primer inicio de sesión de un apoderado con contraseña temporal, cuando el sistema muestra la pantalla de cambio de contraseña, entonces presenta un checkbox obligatorio que describe la finalidad del tratamiento de datos. CA2: Dado que el apoderado marca el checkbox, cuando confirma el cambio de contraseña, entonces el sistema registra el consentimiento con fecha y versión del aviso de privacidad y habilita el acceso a la información de sus pupilos. CA3: Dado un apoderado que no marca el checkbox, cuando intenta continuar, entonces el sistema impide el acceso hasta que otorgue el consentimiento. CA4: Dado un apoderado registrado, cuando accede a su perfil, entonces puede revocar el consentimiento. CA5: Dado un apoderado que revoca el consentimiento, cuando el sistema procesa la revocación, entonces anonimiza sus datos personales y los de sus pupilos en un plazo no mayor a 30 días.",Pendiente,Pendiente,Florencia Soto,Checkbox obligatorio en el primer ingreso (pages/acceso/cambiar-contrasena.html) antes de acceder a datos de pupilos. Revocación en pages/apoderado/perfil.html.
HU07,EP01,Solicitar acceso a mis datos personales,Apoderado,Solicitar el acceso a mis datos personales registrados,Ejercer mi derecho de acceso como titular de datos,Media,Sprint 04,"CA1: Dado un apoderado autenticado, cuando accede a su perfil, entonces encuentra la opción de solicitar acceso a sus datos personales. CA2: Dado un apoderado que solicita acceso, cuando el sistema procesa la solicitud, entonces genera un archivo descargable con todos sus datos personales en formato legible.",Pendiente,Pendiente,Florencia Soto,pages/apoderado/perfil.html.
HU08,EP01,Solicitar rectificación de mis datos personales,Apoderado,Solicitar la rectificación de mis datos personales incorrectos,Mantener actualizada mi información,Media,Sprint 04,"CA1: Dado un apoderado autenticado que detecta datos incorrectos, cuando solicita su rectificación, entonces el sistema registra la solicitud y notifica al administrador. CA2: Dado un administrador que recibe una solicitud de rectificación, cuando la aprueba, entonces el sistema actualiza los datos y notifica al apoderado. CA3: Dado un administrador que rechaza una solicitud de rectificación, cuando ingresa un motivo obligatorio, entonces el sistema notifica al apoderado con el motivo.",Pendiente,Pendiente,Florencia Soto,pages/apoderado/perfil.html.
HU23,EP03,Reservar materiales del catálogo,Apoderado,Reservar productos del catálogo,Asegurar disponibilidad antes de retirarlos,Alta,Sprint 04,"CA1: Dado un producto con stock disponible, cuando el apoderado selecciona reservar, entonces el sistema registra la reserva en estado Pendiente y descuenta la unidad del stock disponible. CA2: Dado un apoderado autenticado, cuando confirma la reserva, entonces el sistema asocia la reserva a su cuenta y muestra un código de reserva. CA3: Dado un producto sin stock disponible, cuando el apoderado intenta reservar, entonces el botón de reserva aparece deshabilitado y no permite la operación. CA4: Dado un carrito con múltiples productos, cuando el apoderado confirma la reserva, entonces el sistema registra una reserva por cada producto en una única operación transaccional.",Pendiente,Pendiente,Pamela Acuña,pages/apoderado/reservar-materiales.html. Comportamiento JS en Sprint 4.
HU24,EP03,Consultar mis reservas,Apoderado,Consultar el estado de mis reservas,Saber cuándo están listas para retiro,Alta,Sprint 04,"CA1: Dado un apoderado con reservas registradas, cuando accede a la vista de reservas, entonces visualiza el listado con código, producto, fecha y estado. CA2: Dado una reserva del listado, cuando se muestra, entonces indica si está Pendiente, Lista para retiro, Entregada o Cancelada. CA3: Dado un apoderado sin reservas, cuando accede a la vista, entonces el sistema informa el estado vacío y ofrece volver al catálogo. CA4: Dado una reserva en estado Lista para retiro, cuando el apoderado la consulta, entonces visualiza la fecha límite de retiro y las instrucciones del centro.",Pendiente,Pendiente,Pamela Acuña,pages/apoderado/mis-reservas.html. Comportamiento JS en Sprint 4.
HU44,EP07,Recibir mensajes de error personalizados,Todos,Recibir mensajes claros cuando ingreso datos incorrectos,Corregir los datos antes de enviar un formulario,Alta,Sprint 04,"CA1: Dado cualquier formulario del sistema, cuando el usuario envía datos inválidos, entonces la validación se ejecuta en JavaScript antes del procesamiento. CA2: Dado un formulario con datos inválidos, cuando el usuario intenta enviarlo, entonces el sistema impide el envío. CA3: Dado un campo con error, cuando se muestra el mensaje, entonces este indica el campo afectado y qué debe corregirse. CA4: Dado los formularios de Login, Contacto, Registro, Producto y Usuario, cuando se revisan, entonces todos aplican esta validación.",Pendiente,Pendiente,Florencia Soto,Transversal. Indicador IE1.2.1 de la rúbrica. Comportamiento JS en Sprint 4.
HU55,EP09,Buscar productos por texto,Apoderado,Buscar un producto escribiendo su nombre o código,Encontrarlo sin recorrer todo el catálogo,Alta,Sprint 04,"CA1: Dado el catálogo cargado, cuando el usuario lo visualiza, entonces existe un campo de búsqueda visible. CA2: Dado un término de búsqueda, cuando el usuario lo ingresa, entonces el sistema busca coincidencias en nombre, código y descripción. CA3: Dado un término escrito con mayúsculas, minúsculas o sin tildes, cuando se ejecuta la búsqueda, entonces los resultados son los mismos. CA4: Dado un término de búsqueda, cuando el usuario termina de escribir o presiona Enter, entonces el listado se actualiza con los resultados. CA5: Dado una búsqueda activa, cuando el usuario selecciona limpiar, entonces el campo se vacía y se muestra el catálogo completo. CA6: Dado un visitante sin sesión, cuando intenta acceder al catálogo, entonces el sistema lo redirige al login.",Pendiente,Pendiente,Pamela Acuña,pages/apoderado/productos.html y pages/apoderado/reservar-materiales.html. Lógica en assets/js/filtros.js. Sprint 4.
HU56,EP09,Filtrar por rango de precio,Apoderado,Filtrar el catálogo por un rango de precio,Ver solo lo que alcanza el saldo disponible,Alta,Sprint 04,"CA1: Dado el catálogo cargado, cuando el usuario abre los filtros, entonces existe un control de precio mínimo y máximo. CA2: Dado el catálogo cargado, cuando se cargan los filtros, entonces los valores por defecto corresponden al producto más barato y al más caro. CA3: Dado el control de precio, cuando el usuario fija un mínimo mayor que el máximo, entonces el sistema impide aplicar el filtro y muestra un mensaje. CA4: Dado un rango válido, cuando el usuario lo aplica, entonces el listado muestra solo los productos dentro de ese rango. CA5: Dado un visitante sin sesión, cuando intenta acceder al catálogo, entonces el sistema lo redirige al login.",Pendiente,Pendiente,Pamela Acuña,pages/apoderado/productos.html y pages/apoderado/reservar-materiales.html. Sprint 4.
HU57,EP09,Filtrar por año escolar,Apoderado,Filtrar el catálogo por año escolar,Encontrar los materiales del nivel del pupilo,Alta,Sprint 04,"CA1: Dado el catálogo cargado, cuando se carga el filtro de año escolar, entonces lista solo los niveles que tienen productos. CA2: Dado un nivel seleccionado, cuando se aplica el filtro, entonces el listado muestra los productos asociados a ese nivel. CA3: Dado un producto sin nivel asignado, cuando se aplica un filtro de nivel cualquiera, entonces el producto sigue apareciendo e indica que es válido para todos los niveles. CA4: Dado el filtro de año escolar, cuando el usuario selecciona más de un nivel, entonces el listado muestra los productos de todos los niveles seleccionados. CA5: Dado un filtro de nivel aplicado, cuando el usuario lo quita, entonces se muestra el catálogo sin esa restricción. CA6: Dado un visitante sin sesión, cuando intenta acceder al catálogo, entonces el sistema lo redirige al login.",Pendiente,Pendiente,Pamela Acuña,pages/apoderado/productos.html y pages/apoderado/reservar-materiales.html. Sprint 4.
HU58,EP09,Filtrar por materia,Apoderado,Filtrar el catálogo por materia o asignatura,Encontrar los textos de una asignatura específica,Alta,Sprint 04,"CA1: Dado el catálogo cargado, cuando se carga el filtro de materia, entonces lista solo las materias con productos. CA2: Dado una materia seleccionada, cuando se aplica el filtro, entonces el listado muestra los productos asociados a ella. CA3: Dado un producto sin materia asignada, cuando se agrupan los resultados, entonces queda bajo una categoría general identificada como tal. CA4: Dado el filtro de materia, cuando el usuario selecciona más de una, entonces el listado muestra los productos de todas las materias seleccionadas. CA5: Dado un visitante sin sesión, cuando intenta acceder al catálogo, entonces el sistema lo redirige al login.",Pendiente,Pendiente,Pamela Acuña,pages/apoderado/productos.html y pages/apoderado/reservar-materiales.html. Sprint 4.
HU59,EP09,Filtrar por disponibilidad,Apoderado,Ver solo los productos con stock disponible,No perder tiempo revisando artículos agotados,Media,Sprint 04,"CA1: Dado el catálogo cargado, cuando el usuario abre los filtros, entonces existe una opción para mostrar solo productos disponibles. CA2: Dado un producto, cuando el sistema calcula su disponibilidad, entonces resta del stock físico las unidades ya reservadas por otros alumnos. CA3: Dado el filtro de disponibilidad activado, cuando se aplica, entonces los productos sin unidades disponibles no aparecen en el listado. CA4: Dado el filtro desactivado, cuando se carga el listado, entonces los agotados se muestran identificados como tales y sin acción de reserva. CA5: Dado un visitante sin sesión, cuando intenta acceder al catálogo, entonces el sistema lo redirige al login.",Pendiente,Pendiente,Pamela Acuña,pages/apoderado/productos.html y pages/apoderado/reservar-materiales.html. Sprint 4.
HU60,EP09,Combinar varios filtros,Apoderado,Aplicar varios filtros al mismo tiempo junto con la búsqueda,Acotar la búsqueda hasta encontrar lo que necesito,Alta,Sprint 04,"CA1: Dado varios filtros seleccionados, cuando se aplican, entonces el listado muestra únicamente los productos que cumplen todas las condiciones a la vez. CA2: Dado una búsqueda por texto activa, cuando el usuario aplica además un filtro, entonces ambos se combinan. CA3: Dado uno o más filtros aplicados, cuando se carga el listado, entonces cada filtro activo se muestra como una etiqueta visible. CA4: Dado un resultado filtrado, cuando se muestra, entonces se indica la cantidad de productos encontrados. CA5: Dado un visitante sin sesión, cuando intenta acceder al catálogo, entonces el sistema lo redirige al login.",Pendiente,Pendiente,Pamela Acuña,pages/apoderado/productos.html y pages/apoderado/reservar-materiales.html. Sprint 4.
HU61,EP09,Limpiar los filtros aplicados,Apoderado,Quitar los filtros aplicados al catálogo,Volver al catálogo completo sin rehacer la navegación,Alta,Sprint 04,"CA1: Dado una etiqueta de filtro activo, cuando el usuario la cierra, entonces ese filtro se quita y el listado se actualiza conservando los demás. CA2: Dado uno o más filtros aplicados, cuando el usuario selecciona limpiar todos, entonces se quitan todos los filtros y la búsqueda, y se muestra el catálogo completo. CA3: Dado un catálogo recargado, cuando el nuevo catálogo no contiene los valores de un filtro activo, entonces ese filtro se descarta y el sistema informa al usuario. CA4: Dado un visitante sin sesión, cuando intenta acceder al catálogo, entonces el sistema lo redirige al login.",Pendiente,Pendiente,Pamela Acuña,pages/apoderado/productos.html y pages/apoderado/reservar-materiales.html. Sprint 4.
HU62,EP09,Ordenar por precio ascendente,Apoderado,Ordenar el listado de productos por precio ascendente,Revisar primero los productos más económicos,Media,Sprint 04,"CA1: Dado el listado de productos, cuando el usuario abre el selector de orden, entonces dispone de la opción precio ascendente. CA2: Dado la opción precio ascendente seleccionada, cuando se aplica, entonces el listado se reordena mostrando primero los productos de menor precio. CA3: Dado un criterio de orden aplicado, cuando el usuario aplica o quita un filtro, entonces el orden elegido se mantiene. CA4: Dado un visitante sin sesión, cuando intenta acceder al catálogo, entonces el sistema lo redirige al login.",Pendiente,Pendiente,Pamela Acuña,pages/apoderado/productos.html y pages/apoderado/reservar-materiales.html. Sprint 4.
HU63,EP09,Ordenar por precio descendente,Apoderado,Ordenar el listado de productos por precio descendente,Revisar primero los productos más costosos,Media,Sprint 04,"CA1: Dado el listado de productos, cuando el usuario abre el selector de orden, entonces dispone de la opción precio descendente. CA2: Dado la opción precio descendente seleccionada, cuando se aplica, entonces el listado se reordena mostrando primero los productos de mayor precio. CA3: Dado un criterio de orden aplicado, cuando el usuario aplica o quita un filtro, entonces el orden elegido se mantiene. CA4: Dado un visitante sin sesión, cuando intenta acceder al catálogo, entonces el sistema lo redirige al login.",Pendiente,Pendiente,Pamela Acuña,pages/apoderado/productos.html y pages/apoderado/reservar-materiales.html. Sprint 4.
HU64,EP09,Ordenar por nombre ascendente,Apoderado,Ordenar el listado de productos por nombre de la A a la Z,Ubicar los productos alfabéticamente,Media,Sprint 04,"CA1: Dado el listado de productos, cuando el usuario abre el selector de orden, entonces dispone de la opción nombre A-Z. CA2: Dado la opción nombre A-Z seleccionada, cuando se aplica, entonces el listado se reordena alfabéticamente de la A a la Z. CA3: Dado un catálogo recién cargado sin criterio elegido, cuando se muestra, entonces los productos aparecen ordenados por nombre A-Z por defecto. CA4: Dado un visitante sin sesión, cuando intenta acceder al catálogo, entonces el sistema lo redirige al login.",Pendiente,Pendiente,Pamela Acuña,pages/apoderado/productos.html y pages/apoderado/reservar-materiales.html. Sprint 4.
